OID_,max_WFPI_20210603,max_WFPI_20210604,max_WFPI_20210605,max_WFPI_20210606
1,0,0,0,0
2,109,112,109,109
3,109,112,108,108
4,111,115,109,109
5,110,114,110,110
6,116,120,115,115
7,0,0,0,0
8,103,106,101,101
9,111,115,111,111
10,0,0,0,0
11,96,96,96,96
12,110,124,124,124
13,110,111,110,110
14,111,113,110,110
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,118,121,119,119
20,113,114,111,111
21,118,121,119,119
22,111,114,113,113
23,0,0,0,0
24,109,114,114,114
25,0,0,0,0
26,0,0,0,0
27,77,75,72,77
28,77,75,72,77
29,114,119,114,114
30,0,0,0,0
31,103,101,101,101
32,0,0,0,0
33,96,91,102,102
34,108,107,105,113
35,108,107,105,113
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,111,108,114,114
41,104,107,107,107
42,101,103,107,107
43,114,123,123,123
44,100,111,112,112
45,101,108,111,111
46,113,117,118,118
47,111,123,123,123
48,105,119,119,119
49,105,111,112,112
50,105,111,112,112
51,101,106,107,107
52,106,114,113,113
53,111,114,115,115
54,113,116,118,118
55,105,111,112,112
56,105,111,112,112
57,0,0,0,0
58,0,0,0,0
59,99,110,112,112
60,103,114,114,114
61,99,110,112,112
62,102,114,117,117
63,94,104,109,109
64,108,117,117,117
65,102,112,112,112
66,109,117,119,119
67,109,117,119,119
68,108,121,120,120
69,106,119,119,119
70,109,117,118,118
71,111,116,119,119
72,109,121,126,126
73,105,113,117,117
74,105,113,117,117
75,101,114,118,118
76,101,114,118,118
77,97,109,112,112
78,97,109,112,112
79,110,118,121,121
80,0,0,0,0
81,113,108,108,108
82,99,99,99,99
83,124,124,112,122
84,103,100,112,112
85,110,119,120,120
86,109,109,113,113
87,124,126,126,126
88,113,118,118,118
89,0,0,0,0
90,75,68,75,75
91,130,132,133,133
92,132,132,135,135
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,127,126,129,129
98,0,0,0,0
99,126,125,125,125
100,126,138,130,130
101,117,125,119,125
102,0,0,0,0
103,0,0,0,0
104,97,114,116,116
105,97,114,116,116
106,113,118,119,119
107,0,0,0,0
108,108,121,123,123
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,101,113,115,115
114,101,113,115,115
115,95,97,95,95
116,95,97,95,95
117,0,0,0,0
118,110,129,133,133
119,114,119,121,121
120,85,87,85,85
