OID_,max_WFPI_20211008,max_WFPI_20211009
1,0,0
2,88,101
3,82,95
4,84,96
5,84,94
6,80,100
7,0,0
8,68,84
9,81,96
10,0,0
11,59,79
12,59,84
13,82,98
14,82,98
15,0,0
16,0,0
17,0,0
18,0,0
19,78,95
20,80,94
21,81,96
22,71,97
23,0,0
24,72,98
25,0,0
26,0,0
27,54,56
28,54,56
29,88,102
30,0,0
31,70,95
32,0,0
33,53,85
34,81,86
35,81,86
36,0,0
37,0,0
38,0,0
39,0,0
40,78,85
41,64,76
42,1,62
43,46,80
44,54,73
45,52,75
46,33,70
47,47,82
48,43,73
49,64,77
50,54,77
51,44,77
52,8,76
53,47,77
54,44,73
55,47,77
56,47,77
57,0,0
58,0,0
59,78,80
60,51,77
61,78,80
62,77,82
63,80,79
64,73,87
65,69,85
66,68,87
67,68,87
68,74,89
69,65,79
70,64,85
71,45,77
72,82,91
73,61,78
74,61,78
75,77,71
76,77,71
77,62,61
78,62,61
79,88,92
80,0,0
81,67,84
82,43,61
83,46,94
84,66,89
85,97,99
86,75,78
87,71,99
88,83,93
89,0,0
90,48,82
91,84,105
92,84,102
93,0,0
94,0,0
95,0,0
96,0,0
97,81,91
98,0,0
99,82,91
100,82,94
101,45,100
102,0,0
103,0,0
104,94,91
105,94,91
106,96,91
107,0,0
108,98,96
109,0,0
110,0,0
111,0,0
112,0,0
113,85,81
114,85,81
115,63,92
116,63,92
117,0,0
118,83,99
119,79,85
120,1,83
