OID_,max_WFPI_20211011,max_WFPI_20211012,max_WFPI_20211013
1,0,0,0
2,119,93,90
3,121,95,94
4,125,97,96
5,121,99,93
6,128,101,94
7,0,0,0
8,120,89,85
9,118,92,90
10,0,0,0
11,105,74,70
12,128,80,78
13,124,97,94
14,124,96,93
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,137,102,96
20,125,107,91
21,137,102,96
22,126,102,93
23,0,0,0
24,127,92,93
25,0,0,0
26,0,0,0
27,66,61,59
28,66,61,59
29,130,108,97
30,0,0,0
31,103,87,78
32,0,0,0
33,78,82,84
34,107,101,92
35,107,101,92
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,99,90,93
41,105,96,84
42,80,1,46
43,114,78,75
44,113,53,68
45,111,56,69
46,111,43,68
47,120,77,76
48,104,72,67
49,119,74,73
50,119,62,73
51,108,57,66
52,93,39,66
53,119,62,75
54,109,56,71
55,119,62,73
56,119,62,73
57,0,0,0
58,0,0,0
59,110,75,70
60,126,82,78
61,110,75,70
62,127,83,78
63,121,97,86
64,114,92,92
65,109,89,88
66,115,98,88
67,115,98,88
68,132,92,93
69,113,84,83
70,116,90,84
71,108,85,79
72,130,112,93
73,107,93,85
74,107,93,85
75,124,88,86
76,124,88,86
77,100,76,69
78,100,76,69
79,134,112,93
80,0,0,0
81,99,92,100
82,86,82,89
83,121,105,124
84,100,90,94
85,123,98,97
86,104,90,89
87,121,104,124
88,121,103,105
89,0,0,0
90,99,93,114
91,126,108,138
92,131,108,130
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,129,103,108
98,0,0,0
99,137,108,108
100,137,108,107
101,115,99,107
102,0,0,0
103,0,0,0
104,130,94,94
105,130,94,94
106,143,96,100
107,0,0,0
108,135,110,102
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,125,101,95
114,125,101,95
115,95,93,91
116,95,93,91
117,0,0,0
118,108,102,99
119,130,112,92
120,82,79,77
